name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
פגישה לאין קץ - ארץ ישראל הישנה והטובה חלק ב - רימאסטרינג,31,10,257407,False,2021-12-25T03:34:14Z,Arik Einstein,365646,53,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,שיר שחלמתי,2018-08-24,181,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
עגילי דמאר,12,18,288866,False,2021-12-25T00:51:05Z,Yardena Arazi,7409,34,['classic israeli pop'],pop,יש ונדמה - האוסף,1998-01-01,40,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
Ani Osa Li Manginot - Hakol Zahav,28,1,193145,False,2021-12-25T08:36:08Z,Sexta,1073,20,['classic israeli pop'],pop,Hakol Kalul,2016-10-04,58,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
כל נדרי,29,1,236746,False,2021-12-25T08:32:42Z,Haim Moshe,25668,37,"['classic israeli pop', 'mizrahi']",pop,כל נדרי,1987-01-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
אחרי השקיעה בשדה,7,6,168026,False,2021-12-25T08:15:24Z,Naomi Shemer,5222,33,['classic israeli pop'],pop,נעמי שמר שרה נעמי שמר,2004,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
בצל כפות תמר,5,2,172173,False,2021-12-25T07:48:10Z,Haparvarim,7628,34,"['classic israeli pop', 'israeli rock']",pop,החולמים אחר השמש,1978-01-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
גבר אמיתי,30,1,207887,False,2021-12-25T07:43:34Z,Dana Lev,3031,24,['israeli pop'],pop,גבר אמיתי,2020-08-31,1,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
מקהלה עליזה,39,1,166906,False,2021-12-25T07:33:46Z,Chava Alberstein,98693,46,"['classic israeli pop', 'israeli singer-songwriter']",pop,בשירים עבריים/פרח הלילך,1967-01-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
בזכותם,6,7,113840,False,2021-12-25T07:31:31Z,Tzevet Havai Pikud Merkaz,65,16,[],other,צוות הווי פיקוד מרכז-עם רוחמה,1976-01-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
אפס מאמץ,57,3,200142,False,2021-12-31T09:57:47Z,Static & Ben El,342100,60,"['israeli pop', 'jewish pop']",pop,שבעה ירחים,2021-07-06,7,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
הולכת איתך,62,1,213333,False,2021-12-31T09:57:47Z,Narkis,62029,50,['israeli pop'],pop,הולכת איתך,2021-05-10,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
STAY (with Justin Bieber),92,3,141805,True,2021-12-31T09:57:47Z,The Kid LAROI,3112083,90,['australian hip hop'],hip,F*CK LOVE 3: OVER YOU,2021-07-23,29,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Enemy (with JID) - from the series Arcane League of Legends,97,1,173381,False,2021-12-31T09:57:47Z,Imagine Dragons,37447485,92,"['modern rock', 'rock']",rock,Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Heat Waves,92,14,238805,False,2021-12-31T09:57:47Z,Glass Animals,2292268,86,"['gauze pop', 'indietronica', 'shiver pop']",pop,Dreamland (+ Bonus Levels),2020-08-06,18,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
