genre,count,main_genre
arab groove,42,
gypsy fusion,42,
detroit hip hop,42,
etherpop,42,
bedroom pop,42,
nova mpb,41,
velha guarda,41,
brazilian jazz,41,
bubblegrunge,41,
jangle pop,41,
latin rock,41,
outsider house,41,
bboy,41,
ethnotronica,41,
belgian indie,41,
deep groove house,41,
piano cover,41,
dark techno,41,
world fusion,41,
pagode,41,
dutch pop,41,
memphis blues,40,
israeli folk,40,
classical organ,40,
desi pop,40,
german pop,40,
rai,40,
ska revival,40,
scorecore,40,
philly indie,40,
chasidic pop,40,
austindie,40,
musica tradicional cubana,39,
experimental ambient,39,
old school atlanta hip hop,39,
latin hip hop,39,
harmonica blues,39,
ethio-jazz,39,
arabic hip hop,38,
arab electronic,38,
egyptian hip hop,38,
disney,38,
women's music,38,
francoton,38,
classic italian pop,38,
gbvfi,38,
indie surf,38,
canadian electronic,38,
big band,38,
folk-pop,38,
neo-classical,38,
dark wave,38,
acoustic pop,38,
italian techno,38,
ambient folk,38,
nederpop,37,
progressive psytrance,37,
dancehall,37,
drone,37,
swedish synthpop,37,
desert blues,37,
contemporary classical,37,
balkan beats,37,
belgian rock,37,
modern bollywood,37,
post-rock,37,
hammond organ,36,
rumba,36,
stride,36,
bay area indie,36,
talent show,36,
electro-pop francais,36,
modern dream pop,35,
violao,35,
contemporary country,35,
ye ye,35,
meditation,35,
deep euro house,35,
lebanese indie,35,
new weird america,35,
lovers rock,35,
country dawn,35,
frankfurt electronic,35,
welsh rock,35,
quebec indie,35,
skate punk,35,
german trance,35,
lo-fi house,35,
pop punk,35,
bow pop,35,
balearic,34,
israeli punk,34,
jazz double bass,34,
puerto rican pop,34,
funky house,34,
nu gaze,34,
texas blues,34,
dutch edm,33,
brostep,33,
garage rock revival,33,
israeli techno,33,
psychedelic pop,33,
german house,33,
italian trance,32,
french psychedelic,32,
rock drums,32,
worship,32,
spiritual jazz,32,
acid house,32,
nigerian pop,32,
proto-techno,32,
indie punk,32,
twee pop,32,
la pop,32,
melodic thrash,32,
progressive metal,31,
norwegian indie,31,
nouvelle chanson francaise,31,
aussietronica,31,
uk americana,31,
hardcore punk,31,
uk doom metal,31,
folktronica,31,
synthesizer,31,
early us punk,31,
deep techno,31,
dutch rock,31,
workout product,30,
german metal,30,
hamburg electronic,30,
tucson indie,30,
uk hip hop,30,
ccm,30,
lo-fi indie,30,
american contemporary classical,30,
christian music,30,
karaoke,30,
norwegian pop,30,
moroccan pop,30,
slam poetry,30,
pop r&b,29,
french hip hop,29,
p funk,29,
nu skool breaks,29,
entehno,29,
scottish singer-songwriter,29,
israeli traditional,29,
denton tx indie,29,
swedish jazz,28,
experimental hip hop,28,
deep uplifting trance,28,
nwobhm,28,
german dance,28,
r&b en espanol,28,
gothenburg indie,28,
j-pop,28,
german soundtrack,28,
rocksteady,28,
spectra,28,
pop urbaine,28,
palestinian alternative,28,
stoner metal,27,
british singer-songwriter,27,
psychill,27,
cyberpunk,27,
emo,27,
industrial metal,27,
swedish indie pop,27,
russian pop,27,
tuareg guitar,27,
new orleans funk,27,
english indie rock,27,
russian romanticism,27,
belly dance,27,
modern psychedelic folk,27,
electric bass,27,
psychedelic hip hop,27,
uk alternative hip hop,27,
spirituals,27,
ambient house,26,
kc indie,26,
deep ambient,26,
new italo disco,26,
avant-garde,26,
deep minimal techno,26,
celtic,26,
arabic jazz,26,
baltimore indie,26,
children's music,26,
psychedelic blues-rock,26,
small room,26,
philly rap,26,
k-pop girl group,26,
persian alternative,26,
french jazz,26,
circuit,25,
virginia hip hop,25,
chill r&b,25,
gauze pop,25,
pittsburgh rap,25,
modern power pop,25,
uk funky,25,
reggaeton colombiano,25,
deep soul house,25,
theme,25,
experimental jazz,25,
pop house,25,
british soundtrack,25,
cantautor,25,
ukrainian electronic,25,
hyperpop,24,
uk reggae,24,
jazz house,24,
gypsy punk,24,
french techno,24,
c86,24,
classic progressive house,24,
social media pop,24,
neoclassicism,24,
munich electronic,24,
neo r&b,24,
dutch house,24,
garage pop,24,
socal pop punk,24,
berlin school,24,
welsh indie,24,
afro-funk,24,
drone folk,24,
chicago house,23,
samba-jazz,23,
toronto indie,23,
polish classical,23,
classic dubstep,23,
show tunes,23,
belgian dance,23,
vintage french electronic,23,
alabama indie,23,
christian alternative rock,23,
world worship,23,
comic,23,
italian pop,23,
groove metal,23,
australian reggae fusion,23,
rock nacional,23,
classic greek pop,23,
complextro,23,
rif,23,
canadian house,23,
samba-rock,23,
elephant 6,23,
azontobeats,23,
turkish pop,23,
buffalo ny indie,23,
south african pop,23,
grime,23,
romanian pop,23,
syrian pop,23,
fluxwork,23,
fado,23,
lebanese pop,23,
italian soundtrack,23,
brit funk,23,
groove room,23,
experimental r&b,22,
ethiopian pop,22,
english baroque,22,
modular synth,22,
space age pop,22,
broken beat,22,
early synthpop,22,
norwegian rock,22,
piedmont blues,22,
riot grrrl,22,
australian hip hop,22,
belgian pop,22,
dfw rap,22,
retro soul,21,
uk garage,21,
k-pop boy group,21,
spanish pop,21,
seattle indie,21,
irish singer-songwriter,21,
country road,21,
argentine rock,21,
garage house,21,
samba de roda,21,
german hard rock,21,
oakland indie,21,
australian house,21,
urbano latino,21,
dark trap,21,
australian electropop,21,
jump blues,21,
kiwi rock,21,
deconstructed club,21,
viral rap,21,
vintage italian soundtrack,21,
surf music,21,
dusseldorf electronic,21,
canadian rock,21,
french synthpop,20,
dutch tech house,20,
duluth indie,20,
jazz organ,20,
british industrial,20,
neo classical metal,20,
operatic pop,20,
nyc rap,20,
south african house,20,
afro psych,20,
musica cabo-verdiana,20,
souldies,20,
electronic trap,20,
new orleans jazz,20,
bolero,20,
portland hip hop,20,
dark jazz,20,
native american,20,
russian hip hop,19,
indonesian viral pop,19,
space ambient,19,
trova,19,
experimental house,19,
melbourne indie,19,
rebetiko,19,
louisville indie,19,
afro dancehall,19,
british modern classical,19,
italo dance,19,
progressive jazz fusion,19,
canadian americana,19,
afro soul,19,
bergen indie,19,
french soundtrack,19,
bass house,19,
new jack swing,19,
outsider,19,
irish indie rock,19,
drum and bass,18,
flamenco,18,
abstract hip hop,18,
microtonal,18,
italian tech house,18,
soukous,18,
mindfulness,18,
detroit techno,18,
gen z singer-songwriter,18,
electro jazz,18,
spacewave,18,
